file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DSC-35-7-7275_m0017,58.72,52.97,0.0,57.27,58.54,57.55,60.71,59.26,58.72,58.72,58.72,58.72,35.92,58.72,56.62,58.72
PT-TT-SNI-DSC-35-7-7291_m0032,51.11,46.49,0.0,45.98,51.65,49.18,54.14,51.58,51.11,51.11,51.11,51.11,37.5,51.11,50.0,51.11
PT-TT-SNI-DSC-35-7-7300_m0041,70.39,66.67,0.0,67.77,68.9,68.85,69.93,70.59,70.39,70.39,70.39,70.39,43.37,70.39,70.86,70.39
PT-TT-SNI-DSC-35-7-7300_m0042,81.82,73.17,0.0,77.27,76.6,81.82,86.36,91.3,81.82,81.82,81.82,81.82,25.93,33.33,74.42,81.82
PT-TT-SNI-DSC-35-7-7310_m0052,48.35,48.65,11.11,50.0,49.45,52.04,50.55,56.99,48.35,48.35,48.35,48.35,28.29,48.39,43.09,48.35
PT-TT-SNI-DSC-35-7-7327_m0069,50.96,52.83,0.0,54.78,54.78,51.66,56.96,55.56,50.96,50.96,50.96,50.96,37.91,50.0,52.9,50.96
PT-TT-SNI-DSC-35-7-7402_m0146,45.36,40.38,0.0,44.44,42.99,46.43,54.55,40.4,45.36,45.36,45.36,45.36,32.69,40.71,36.84,45.36
PT-TT-SNI-DSC-35-7-7476_m0227,51.9,50.63,30.14,49.68,47.44,53.42,50.63,55.35,51.9,51.9,51.9,51.9,27.21,52.56,43.64,51.9
PT-TT-SNI-DSC-35-7-7498_m0248,19.25,28.94,5.68,29.63,26.96,32.07,17.89,31.8,19.25,19.25,19.25,19.25,19.21,24.39,26.42,19.25
PT-TT-SNI-DSC-35-7-7520_m0266,35.79,35.64,35.56,30.11,48.28,40.74,35.79,43.64,35.79,35.79,35.79,35.79,3.57,35.79,37.78,35.79
PT-TT-SNI-DSC-35-7-7549_m0289,49.62,48.15,0.0,50.0,57.04,53.87,54.41,57.04,49.62,49.62,49.62,49.62,29.01,50.0,50.0,49.62
PT-TT-SNI-DSC-35-7-7549_m0290,52.05,48.1,0.0,54.55,62.5,59.15,54.79,52.17,52.05,52.05,52.05,52.05,32.43,60.98,53.66,52.05
PT-TT-SNI-DSC-35-7-7694_m0398,50.0,23.81,0.0,54.55,52.43,57.41,47.62,41.86,50.0,50.0,50.0,50.0,27.66,56.36,53.57,50.0
PT-TT-SNI-DSC-35-7-7726_m0433,74.46,73.75,48.25,75.16,72.67,74.85,74.77,73.78,74.46,74.46,74.46,74.46,40.23,74.46,72.62,74.46
