file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,adaptive_threshold0,adaptive_threshold1
PT-TT-SNI-DSC-35-5-5438_m1088,34.21,23.08,22.64,8.16,4.08,27.4,22.78,31.58,0.0,0.0,13.33,0.0,0.0,0.0,28.57,0.0,0.0
PT-TT-SNI-DSC-35-5-5520_m1222,15.09,0.0,16.67,4.65,8.7,43.18,7.41,44.12,9.2,0.0,20.69,0.0,4.94,0.0,40.45,0.0,0.0
PT-TT-SNI-DSC-35-5-5520_m1223,38.2,23.88,31.33,25.4,29.73,38.71,30.77,26.19,5.13,0.0,15.56,0.0,6.25,0.0,33.68,0.0,0.0
PT-TT-SNI-DSC-35-5-5523_m1228,36.59,4.65,8.7,4.65,8.16,33.73,33.73,33.73,17.98,0.0,16.67,0.0,8.22,0.0,35.0,0.0,0.0
PT-TT-SNI-DSC-35-5-5523_m1229,35.56,24.56,39.47,20.69,13.11,31.82,30.77,22.22,10.13,0.0,12.5,0.0,3.77,0.0,34.41,0.0,0.0
PT-TT-SNI-DSC-35-5-5574_m1318,38.98,8.0,8.7,8.0,11.49,35.59,32.79,38.98,0.0,0.0,22.81,0.0,11.11,0.0,35.0,0.0,0.0
PT-TT-SNI-DSC-35-5-5574_m1319,39.06,25.45,29.69,27.18,26.79,35.19,35.2,30.3,0.0,0.0,7.34,0.0,3.17,2.17,30.89,0.0,0.0
PT-TT-SNI-DSC-35-5-5587_m1344,32.69,6.35,7.55,0.0,6.45,41.67,19.64,23.16,12.31,0.0,13.86,0.0,6.67,0.0,35.05,0.0,0.0
PT-TT-SNI-DSC-35-5-5587_m1345,45.54,15.62,18.75,16.22,11.76,33.33,28.0,27.96,0.0,0.0,20.41,0.0,0.0,0.0,36.19,0.0,0.0
PT-TT-SNI-DSC-35-5-5612_m1394,25.26,0.0,3.33,3.23,5.56,29.63,19.15,22.92,6.25,0.0,13.04,0.0,5.13,3.08,30.36,0.0,0.0
PT-TT-SNI-DSC-35-5-5612_m1395,31.3,2.41,19.23,3.03,10.53,38.94,25.86,20.62,9.88,0.0,6.9,0.0,0.0,0.0,27.12,0.0,0.0
PT-TT-SNI-DSC-35-5-5640_m1445,32.69,0.0,13.16,5.19,15.0,46.28,28.3,42.2,20.16,0.0,23.53,0.0,9.2,0.0,54.26,0.0,0.0
PT-TT-SNI-DSC-35-5-5640_m1446,47.86,19.05,49.56,23.66,29.79,46.15,43.1,23.53,2.13,0.0,21.43,0.0,3.77,4.35,46.15,0.0,0.0
PT-TT-SNI-DSC-35-5-5667_m1495,27.37,6.82,15.38,7.5,9.41,52.89,18.18,51.24,21.49,0.0,35.85,0.0,10.42,0.0,46.88,0.0,0.0
PT-TT-SNI-DSC-35-5-5745_m1577,63.46,3.48,28.41,1.71,13.11,63.37,48.31,62.89,22.08,0.0,33.16,0.0,21.92,1.52,57.27,0.0,0.0
PT-TT-SNI-DSC-35-5-6193_m1988,52.43,13.33,40.0,28.24,42.86,46.15,46.15,43.01,12.66,0.0,23.53,0.0,0.0,2.38,36.73,0.0,0.0
PT-TT-SNI-DSC-35-5-6231_m2030,21.28,8.0,12.5,0.0,14.29,39.39,12.77,41.18,15.38,0.0,0.0,0.0,17.86,0.0,34.41,0.0,0.0
PT-TT-SNI-DSC-35-5-6279_m2076,26.97,0.0,29.63,3.7,36.36,30.14,30.23,17.39,7.14,0.0,0.0,0.0,3.7,0.0,34.38,0.0,0.0
PT-TT-SNI-DSC-35-5-6298_m2094,28.57,16.13,27.08,13.33,25.0,9.84,24.69,10.0,3.08,0.0,0.0,0.0,0.0,2.44,20.93,0.0,0.0
PT-TT-SNI-DSC-35-5-6300_m2096,35.62,4.26,15.38,0.0,16.13,25.71,27.78,20.59,3.64,0.0,3.77,3.85,0.0,0.0,27.78,0.0,0.0
PT-TT-SNI-DSC-35-5-6397_m2182,57.47,43.53,49.16,36.36,50.0,52.22,58.82,54.32,19.2,0.0,43.66,0.0,0.0,1.8,50.0,2.35,0.0
